Edad	Genero	No_hijos	Nivel_Educativo	Estrato_Socio	Ingresos	Peso	Talla	Fuma	Lentes	Casa_propia	Automovil
28	Femenino	0	4	3	1962000	85	170	No	Si	No	No
56	Masculino	2	2	3	5417000	81	175	No	Si	Si	Si
29	Femenino	0	4	3	5533000	61	175	No	Si	Si	Si
38	Femenino	3	3	3	5485000	76	175	Si	Si	No	Si
53	Masculino	1	3	2	5335000	61	170	No	Si	Si	No
43	Masculino	0	1	2	2976000	76	164	Si	No	No	Si
40	Femenino	3	1	4	4485000	59	181	Si	No	Si	Si
43	Masculino	3	4	4	3286000	88	162	Si	No	Si	Si
21	Femenino	1	4	4	5329000	64	166	No	Si	No	No
41	Masculino	2	2	2	4461000	84	167	Si	Si	No	No
45	Masculino	1	4	4	3339000	58	165	No	No	Si	Si
42	Masculino	3	4	2	1831000	84	179	No	Si	Si	No
23	Masculino	1	4	4	3004000	62	166	Si	No	Si	Si
48	Femenino	3	3	4	4844000	98	168	Si	Si	No	Si
44	Masculino	0	1	3	3227000	66	180	No	Si	No	Si
33	Femenino	3	4	2	2892000	71	180	Si	Si	No	Si
22	Femenino	2	4	4	5380000	66	164	No	Si	No	No
43	Masculino	3	4	2	3907000	72	174	Si	No	Si	Si
26	Femenino	0	3	4	3026000	96	180	No	Si	Si	No
47	Femenino	0	2	2	4855000	96	168	Si	No	No	Si
33	Masculino	0	4	3	4809000	59	181	No	No	Si	No
35	Femenino	3	2	4	5037000	75	167	Si	Si	Si	No
36	Femenino	2	4	2	1706000	88	180	No	No	No	Si
53	Masculino	2	1	3	3267000	66	161	Si	Si	Si	Si
21	Masculino	2	3	3	4474000	90	178	Si	No	Si	Si
32	Masculino	1	1	3	4893000	78	161	No	No	Si	No
56	Masculino	2	2	3	3705000	81	169	Si	Si	No	Si
21	Femenino	3	3	4	3816000	86	171	Si	Si	Si	No
31	Femenino	3	3	2	4369000	67	164	Si	No	No	No
39	Femenino	2	4	2	3407000	68	172	Si	No	Si	Si
49	Femenino	0	3	4	3776000	90	176	Si	No	No	Si
41	Femenino	2	3	3	4245000	68	165	Si	Si	Si	Si
35	Masculino	0	2	3	5047000	92	161	No	No	Si	Si
49	Masculino	2	4	2	2905000	78	174	No	Si	No	No
57	Masculino	1	1	3	1665000	96	162	No	Si	Si	Si
25	Masculino	3	4	2	4028000	75	163	Si	No	No	No
47	Masculino	1	4	3	2692000	80	164	Si	No	Si	No
45	Femenino	3	1	3	2211000	81	162	No	No	No	No
26	Femenino	3	3	3	5603000	81	168	Si	No	Si	No
26	Femenino	0	1	3	2358000	92	179	No	No	Si	No
39	Femenino	1	2	2	2413000	60	183	Si	Si	No	Si
54	Masculino	0	2	2	4550000	89	171	No	No	No	Si
23	Femenino	2	3	2	2561000	58	173	No	No	Si	Si
35	Femenino	0	4	3	3401000	78	163	Si	No	No	Si
33	Femenino	0	4	2	1770000	69	182	Si	Si	No	Si
42	Femenino	2	1	4	3457000	71	180	Si	No	Si	Si
52	Femenino	3	4	2	4159000	91	171	Si	Si	Si	No
57	Femenino	1	4	3	1872000	85	176	No	No	Si	No
25	Femenino	1	2	2	3198000	66	170	Si	Si	Si	Si
32	Femenino	2	1	3	4053000	97	181	Si	Si	Si	No
53	Femenino	1	1	3	2245000	66	165	Si	Si	No	Si
44	Femenino	1	2	4	5010000	76	178	No	Si	No	No
49	Femenino	3	1	4	4877000	64	183	Si	No	Si	No
41	Masculino	3	1	3	2448000	71	171	No	No	Si	Si
33	Femenino	1	4	4	2035000	96	170	Si	No	Si	Si
29	Femenino	0	2	4	5138000	65	169	Si	No	Si	No
53	Masculino	0	1	2	3127000	79	165	No	Si	Si	No
40	Masculino	3	2	4	5527000	84	173	Si	No	Si	Si
46	Femenino	3	3	2	4149000	69	166	Si	No	No	No
29	Masculino	2	2	3	5059000	84	179	No	Si	No	No
24	Femenino	2	1	2	4552000	88	164	No	No	Si	Si
32	Femenino	3	3	4	4735000	83	174	Si	No	Si	Si
30	Femenino	3	1	4	4541000	58	167	Si	No	No	No
52	Masculino	3	2	4	4768000	78	182	No	Si	Si	Si
33	Femenino	0	2	2	2944000	78	180	Si	Si	No	No
29	Masculino	0	2	3	5150000	62	172	Si	No	Si	Si
56	Masculino	1	1	3	3351000	87	174	Si	No	Si	Si
23	Femenino	2	3	3	3470000	69	171	Si	No	Si	No
41	Femenino	1	4	2	2099000	75	182	No	No	No	Si
54	Femenino	1	4	3	5151000	96	179	Si	Si	No	Si
46	Femenino	1	2	2	4353000	98	175	Si	Si	Si	No
34	Femenino	2	3	3	5368000	86	178	No	No	Si	No
25	Masculino	1	4	2	2843000	79	161	No	Si	No	No
28	Masculino	2	3	3	1735000	72	163	Si	Si	No	Si
